Door Type,Area,width(m),Height(m)Direction,U, R (m2k/W),Solar Heat Gain Coefficient
"Single-Flush: 30"" x 75"" 2",1.4413,0.71,2.03,3.7021,0.2701,1
"Single-Flush: 30"" x 75"" 2",1.4413,0.71,2.03,3.7021,0.2701,1
"Single-Flush: 30"" x 75"" 2",1.4413,0.71,2.03,3.7021,0.2701,1
"Single-Flush: 30"" x 75"" 2",1.4413,0.71,2.03,3.7021,0.2701,1
Door-Bifold_9052: Aberta 45 Graus(size),2.98,1.49,2,6.8703,0.1456,1
Door-Bifold_9052: Aberta 45 Graus(size S,2.46,1.23,2,6.8703,0.1456,1
Door-Bifold_9052: Aberta 45 Graus(size S,2.46,1.23,2,6.87,0.1456,1
"Single-Flush: 30"" x 65""",1.2383,0.61,2.03,3.7021,0.2701,1
"Single-Flush: 36"" x 84""",1.9383,0.91,2.13,3.7021,0.2701,1
"Single-Flush: 30"" x 75"" 2",1.4413,0.71,2.03,3.7021,0.2701,1
"Single-Flush: 30"" x 75"" 2",1.4413,0.71,2.03,3.7021,0.2701,1
"Single-Flush: 30"" x 75"" 2",1.4413,0.71,2.03,3.7021,0.2701,1
Door-Bifold_9052: Aberta 45 Graus(size),2.98,1.49,2,6.8703,0.1456,1
Internal_Sliding_Door_-_3_vision_panels_12582: 3 vision pannels,1.8,0.9,2,6.8703,0.1456,1
